Track_Name,Artists_Name,Duration,Album_Id,Release Date,Playable,Disc_Number,Track_Type
"Raga of Revenge (From ""DC"")",Anirudh Ravichander,2.1875,0E0UiqvTJlvYqnEaLuTaL8,2026-05-16,True,1,track
"Agar Tum Saath Ho (From ""Tamasha"")",A.R. Rahman,5.684233333333333,5sMovvp4SR99laIsnzfwJE,2022-06-16,True,1,track
Let Me Down Slowly,Alec Benjamin,2.82255,6jKZplJpy21R5lHaYHHjmZ,2018-11-16,True,1,track
Falling,Trevor Daniel,2.65635,1Hy76RlNvOHe6cpih1RxXq,2020-03-26,True,1,track
2002,Anne-Marie,3.116433333333333,7lPoGKpCGgdKFAxpudhAH5,2018-04-27,True,1,track
Let Me Down Slowly,Alec Benjamin,2.82255,6jKZplJpy21R5lHaYHHjmZ,2018-11-16,True,1,track
Believer,Imagine Dragons,3.4057666666666666,33pt9HBdGlAbRGBHQgsZsU,2017-06-23,True,1,track
Despacito - Remix,Luis Fonsi,3.8402166666666666,5C0YLr4OoRGFDaqdMQmkeH,2019-02-01,True,1,track
Faded,Alan Walker,3.5351,3nzuGtN3nXARvvecier4K0,2018-12-14,True,1,track
Blinding Lights,The Weeknd,3.334,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,True,1,track
